City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Khani,GE,41.9563,42.9566,44.17,95,100,2.73,overcast clouds
216,Longyearbyen,SJ,78.2186,15.6401,15.6,79,100,3.96,overcast clouds
217,Lorengau,PG,-2.0226,147.2712,86.13,65,79,6.33,broken clouds
218,Upernavik,GL,72.7868,-56.1549,16.68,72,88,7.09,overcast clouds
219,Tecpan,GT,14.7623,-90.9947,57.88,98,100,4.7,overcast clouds
220,Elizabeth City,US,36.2946,-76.2511,55.42,82,0,4.61,clear sky
221,Den Helder,NL,52.9599,4.7593,55.38,99,100,5.99,mist
222,Shizunai,JP,42.3339,142.3669,60.15,61,82,10.8,broken clouds
223,Abu Zabad,SD,12.35,29.25,77.54,59,17,2.75,few clouds
224,Anchorage,US,61.2181,-149.9003,40.95,93,100,9.22,light rain
225,Kaitangata,NZ,-46.2817,169.8464,53.91,44,87,12.48,overcast clouds
226,Saint-Leu,RE,-21.15,55.2833,69.31,67,59,1.3,broken clouds
227,Johnston,US,35.5335,-78.3997,49.75,85,2,3.67,clear sky
228,Plettenberg Bay,ZA,-34.0527,23.3716,58.84,77,41,2.59,scattered clouds
229,Brae,GB,60.3964,-1.353,49.62,77,100,18.63,overcast clouds
230,Aguada De Pasajeros,CU,22.385,-80.8508,67.28,89,49,5.41,moderate rain
231,Chapais,CA,49.7834,-74.8492,31.78,83,58,10.4,broken clouds
232,San Cristobal,VE,7.7669,-72.225,66.87,92,100,1.54,overcast clouds
233,Kidal,ML,18.4411,1.4078,76.32,20,8,12.86,clear sky
234,Devils Lake,US,48.1128,-98.8651,57.94,44,0,11.5,clear sky
235,Hambantota,LK,6.1241,81.1185,77.34,100,99,4.61,overcast clouds
236,Pitkyaranta,RU,61.5734,31.4792,35.71,72,100,2.93,overcast clouds
237,Ponta Do Sol,PT,32.6667,-17.1,73.0,83,100,3.56,light rain
238,Santa Lucia,ES,27.9117,-15.5407,61.92,78,20,12.66,few clouds
239,Palmer,US,42.1584,-72.3287,47.21,76,20,0.0,few clouds
240,Shelburne,CA,44.0787,-80.2041,36.9,97,98,11.41,overcast clouds
241,Bandarbeyla,SO,9.4942,50.8122,77.36,87,1,7.36,light rain
242,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.25,78,1,6.04,clear sky
243,Airai,TL,-8.9266,125.4092,77.07,53,51,1.86,broken clouds
244,Roma,US,43.2128,-75.4557,45.09,72,98,8.84,overcast clouds
245,Gat,IL,31.61,34.7642,71.4,100,58,5.68,broken clouds
246,Gizo,SB,-8.103,156.8419,84.13,71,92,4.23,moderate rain
247,Marysville,US,48.0518,-122.1771,61.36,84,100,3.44,haze
248,Marystown,CA,47.1666,-55.1483,53.96,90,100,14.0,overcast clouds
249,Port Elizabeth,ZA,-33.918,25.5701,53.89,94,20,1.14,few clouds
250,Pacifica,US,37.6138,-122.4869,69.4,90,20,17.27,few clouds
251,Tiksi,RU,71.6872,128.8694,3.74,92,10,9.4,clear sky
252,Labuhan,ID,-6.8844,112.2051,84.76,70,100,5.46,light rain
253,Swan River,CA,52.1058,-101.2676,51.69,62,100,11.5,overcast clouds
254,Baker City,US,44.7749,-117.8344,62.19,31,87,3.74,overcast clouds
255,Alim,PH,9.5649,122.4876,85.28,72,95,5.59,overcast clouds
256,Lieksa,FI,63.3167,30.0167,34.7,89,100,6.02,overcast clouds
257,Bayan,CN,46.0833,127.4,59.77,50,67,16.55,broken clouds
258,Hami,CN,42.8,93.45,53.22,33,5,10.4,clear sky
259,Hornepayne,CA,49.2138,-84.7705,34.54,88,100,10.58,overcast clouds
260,Nuevo Progreso,MX,23.1667,-97.95,63.54,67,4,2.75,clear sky
261,Kavieng,PG,-2.5744,150.7967,84.06,69,88,4.7,overcast clouds
262,Coquimbo,CL,-29.9533,-71.3436,55.13,94,20,8.05,few clouds
263,Borovoy,RU,55.4333,86.0833,40.28,93,40,11.18,scattered clouds
264,Laishevo,RU,55.4046,49.5504,34.02,89,7,8.1,clear sky
265,Praia,CV,14.9215,-23.5087,75.74,83,40,8.05,scattered clouds
266,Porto Santo,PT,33.072,-16.3415,70.18,88,20,3.44,few clouds
267,Gondar,ET,12.6,37.4667,55.35,70,5,4.85,clear sky
268,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,76,20,9.4,few clouds
269,Beira,MZ,-19.8436,34.8389,71.69,94,20,5.01,few clouds
270,Aden,YE,12.7794,45.0367,82.65,66,2,14.67,clear sky
271,Russell,US,32.3502,-85.1999,45.01,87,0,0.0,clear sky
272,Hailar,CN,49.2,119.7,38.62,74,100,12.68,overcast clouds
273,Kyabe,TD,9.4515,18.9449,72.25,76,99,4.72,overcast clouds
274,Caxito,AO,-8.5785,13.6643,75.6,82,100,2.98,overcast clouds
275,Pemberton,CA,50.3164,-122.8027,55.78,87,100,5.37,overcast clouds
276,Charters Towers,AU,-20.1,146.2667,88.72,41,67,13.22,broken clouds
277,Sola,VU,-13.8833,167.55,84.87,79,77,0.0,broken clouds
278,Marsaxlokk,MT,35.8419,14.5431,66.07,94,20,2.3,few clouds
279,Larsnes,NO,62.2028,5.5773,42.62,63,10,8.97,clear sky
280,Norman Wells,CA,65.282,-126.8329,26.64,86,75,4.61,broken clouds
281,Xining,CN,36.6167,101.7667,48.45,65,90,1.07,overcast clouds
282,Sisimiut,GL,66.9395,-53.6735,32.5,64,100,8.93,light snow
283,Rawson,AR,-43.3002,-65.1023,47.98,59,98,12.77,overcast clouds
284,Zaysan,KZ,47.4667,84.8667,47.16,52,92,2.77,overcast clouds
285,Paamiut,GL,61.994,-49.6678,38.34,74,100,19.55,light rain
286,Baykit,RU,61.67,96.37,34.02,86,100,4.36,overcast clouds
287,Faya,SA,18.3851,42.4509,57.31,61,0,1.72,clear sky
288,Mahebourg,MU,-20.4081,57.7,71.26,88,40,4.61,scattered clouds
289,Aracoiaba,BR,-4.3711,-38.8142,74.95,87,57,6.22,broken clouds
290,Leninskoye,KZ,41.7589,69.3864,54.99,29,100,3.06,overcast clouds
